City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,nova sintra,14.8667,-24.7167,20.91,75,0,7.19,CV,1707364545
259,lethbridge,49.7,-112.8186,-5.55,93,100,4.63,CA,1707364360
260,northam,51.0333,-4.2167,12.03,96,100,7.57,GB,1707364545
261,kiffa,16.6166,-11.4045,21.77,9,96,4.14,MR,1707364545
262,deqing,30.5448,119.9599,6.08,60,61,1.69,CN,1707364545
263,usinsk,65.9939,57.5281,-9.4,90,99,2.68,RU,1707364545
264,prince rupert,54.3161,-130.3201,2.83,93,100,4.12,CA,1707364545
265,thongwa,16.7619,96.5278,27.09,39,0,1.57,MM,1707364546
266,akureyri,65.6835,-18.0878,-9.04,86,75,1.03,IS,1707364546
267,palmas,-10.2128,-48.3603,25.93,94,20,1.03,BR,1707364546
268,brisas de zicatela,15.8369,-97.0419,23.92,81,2,1.13,MX,1707364546
269,saint-philippe,-21.3585,55.7679,26.77,87,80,6.02,RE,1707364546
270,howard springs,-12.497,131.047,31.95,78,84,2.28,AU,1707364546
271,vila velha,-20.3297,-40.2925,25.97,96,20,2.57,BR,1707364519
272,kingscliff,-28.2667,153.5667,29.29,70,100,6.17,AU,1707364547
273,arraial do cabo,-22.9661,-42.0278,23.98,94,20,0.0,BR,1707364547
274,vorgashor,67.5833,63.95,-5.87,86,100,5.91,RU,1707364547
275,geraldton,-28.7667,114.6,42.23,8,0,7.72,AU,1707364511
276,punta del este,-34.9667,-54.95,25.06,82,0,3.13,UY,1707364547
277,constantia,44.1833,28.65,6.5,75,100,3.59,RO,1707364295
278,lompoc,34.6391,-120.4579,10.99,77,100,5.14,US,1707364547
279,tazovsky,67.4667,78.7,-7.22,95,100,5.51,RU,1707364547
280,lerwick,60.1545,-1.1494,2.0,60,51,7.39,GB,1707364519
281,newman,37.3138,-121.0208,8.13,92,80,3.85,US,1707364547
282,zlatni pyasatsi,43.285,28.0418,9.2,66,100,2.06,BG,1707364548
283,georgetown,5.4112,100.3354,30.96,70,20,4.12,MY,1707364495
284,happy valley-goose bay,53.3168,-60.3315,-9.83,79,100,1.03,CA,1707364548
285,onguday,50.75,86.15,-7.57,77,93,1.29,RU,1707364548
286,barah,13.7,30.3667,15.7,23,96,4.35,SD,1707364548
287,saint-pierre,-21.3393,55.4781,26.82,74,100,2.57,RE,1707364548
288,ozark,37.0209,-93.206,11.56,55,100,2.68,US,1707364548
289,tra vinh,9.9347,106.3453,31.81,48,68,3.76,VN,1707364548
290,coquimbo,-29.9533,-71.3436,18.85,88,100,2.06,CL,1707364549
291,cao bang,22.6667,106.25,11.79,79,100,1.08,VN,1707364549
292,calama,-22.4667,-68.9333,16.27,59,0,1.03,CL,1707364448
293,merizo village,13.2658,144.6691,31.31,70,91,6.68,GU,1707364549
294,the bottom,17.6259,-63.2492,23.07,88,82,5.87,BQ,1707364549
295,kasimov,54.9411,41.3953,-12.2,92,100,6.04,RU,1707364549
296,keetmanshoop,-26.5833,18.1333,20.51,45,100,2.06,NA,1707364550
297,taksimo,56.3444,114.8794,-11.38,88,99,0.18,RU,1707364550
298,wuxue,29.8506,115.5525,4.56,77,88,1.49,CN,1707364550
299,horta,38.5333,-28.6333,16.12,86,56,9.83,PT,1707364550
300,huamachuco,-7.8,-78.0667,11.53,89,85,1.11,PE,1707364550
301,valdivia,-39.8142,-73.2459,15.05,71,97,1.51,CL,1707364550
302,kalamata,37.0389,22.1142,12.84,69,20,2.24,GR,1707364550
303,tsuma,32.1,131.4,10.97,49,92,1.54,JP,1707364550
304,gransee,53.007,13.1575,2.89,85,100,2.46,DE,1707364551
305,pisz,53.6274,21.8125,-2.31,94,25,1.55,PL,1707364551
306,baie-saint-paul,47.4411,-70.4986,-0.13,80,100,0.48,CA,1707364551
307,oamaru,-45.0784,170.9801,19.65,57,19,5.16,NZ,1707364506
308,kourou,5.1552,-52.6478,28.03,82,95,3.79,GF,1707364498
309,antofagasta,-23.65,-70.4,22.6,80,35,1.81,CL,1707364551
310,kaa-khem,51.6833,94.7333,-22.81,98,72,0.86,RU,1707364551
311,anqing,30.5092,117.0506,5.33,60,41,1.75,CN,1707364551
312,forster,-32.1667,152.5167,24.1,72,99,5.96,AU,1707363804
313,pisco,-13.7,-76.2167,24.03,88,0,5.14,PE,1707364551
314,sitges,41.2351,1.8119,14.61,59,11,1.34,ES,1707364552
315,sur,22.5667,59.5289,22.07,66,100,3.15,OM,1707364552
316,chiknayakanhalli,13.4172,76.6228,25.84,31,66,2.96,IN,1707364552
317,sao joao da barra,-21.6403,-41.0511,24.84,89,100,2.18,BR,1707364552
318,lake city,30.1897,-82.6393,7.03,53,0,2.06,US,1707364553
319,frontera,26.9333,-101.45,19.07,52,45,0.89,MX,1707364553
320,nikolayevsk-on-amure,53.1406,140.73,-14.96,81,99,1.67,RU,1707364553
321,sakakah,29.9697,40.2064,6.76,62,0,2.62,SA,1707364553
